Minazini,11,1,adminPemba
Mgagadu,11,1,adminPemba
Kendwa,11,1,adminPemba
Stahabu,11,1,adminPemba
Kuukuu,11,1,adminPemba
Mkungu,11,1,adminPemba
Jombwe,11,1,adminPemba
Dodo,11,1,adminPemba
Shamiani,11,1,adminPemba
Makombeni,11,1,adminPemba
Makoongwe,11,1,adminPemba
Shidi,11,1,adminPemba
Mkanyageni,11,1,adminPemba
Michenzani,11,1,adminPemba
Chokocho,11,1,adminPemba
Kisiwa Panza,11,1,adminPemba
Kangani,11,1,adminPemba
Kengeja,11,1,adminPemba
Muambe,11,1,adminPemba
Kiwani,11,1,adminPemba
Mtambile,11,1,adminPemba
Mizingani,11,1,adminPemba
Ngwachani,11,1,adminPemba
Chambani,11,1,adminPemba
Wambaa,11,1,adminPemba
Mbuguwani,11,1,adminPemba
Uweleni,11,1,adminPemba
Mtangani,11,1,adminPemba
Ukutini,11,1,adminPemba
Chole,11,1,adminPemba
Mjimbini,11,1,adminPemba
Chumbageni,11,1,adminPemba
Ngombeni,11,1,adminPemba
Changaweni,11,1,adminPemba
Mbuyuni,11,1,adminPemba
Mchakwe,11,1,adminPemba
